SMA-10,SMA-20,EMA-10,EMA-20,MACD-10,MACD_Signal-10,MACD_Hist-10,SlowK,SlowD,RSI-10,RSI-20,ADX-10,ADX-20,CCI-10,CCI-20,Aroon Down-10,Aroon Up-10,Aroon Up-20,Aroon Down-20,Real Upper Band-10,Real Lower Band-10,Real Upper Band-20,Real Lower Band-20,Chaikin A/D,OBV
150.4905,149.4905,149.5714,149.2252,0.7872,1.3039,-0.5168,13.7435,14.9722,46.0140,50.5722,17.5619,8.9579,-117.0350,-95.8300,100.0000,60.0000,80.0000,0.0000,154.5334,146.4476,154.1409,144.8402,1046623790.9657,868903795.0000
150.7497,149.3573,149.8740,149.3321,0.9909,1.4331,-0.4422,18.1263,24.1558,41.7925,48.4664,17.0896,9.0789,-76.8377,-27.3197,90.0000,70.0000,85.0000,0.0000,154.4959,147.0035,154.2908,144.4238,1051334117.3471,875095595.0000
151.2095,149.3576,150.4866,149.5653,1.3478,1.5436,-0.1959,13.0468,33.6541,48.2791,52.5248,18.5576,9.4265,-168.0391,-63.8275,100.0000,80.0000,90.0000,5.0000,154.0875,148.3315,154.2906,144.4247,1050913674.3098,868134927.0000
151.4567,149.2399,150.7720,149.6034,1.5713,1.5926,-0.0213,41.2942,51.0941,48.0024,52.3805,19.8673,9.8557,-245.2632,-42.4477,100.0000,90.0000,95.0000,10.0000,154.0090,148.9045,154.2930,144.1868,1058090334.2942,876891769.0000
151.5172,149.0595,151.1384,149.6540,1.8419,1.5979,0.2440,46.6213,60.1478,66.7141,62.9732,21.6148,10.2382,-122.6511,32.4846,100.0000,100.0000,100.0000,15.0000,153.8659,149.1685,154.3675,143.7515,1059786684.6849,884091834.0000
150.9147,148.6917,150.5579,149.2228,1.6893,1.5369,0.1524,65.3668,73.9669,52.1652,55.5739,22.8956,10.2783,38.5919,79.1335,0.0000,80.0000,90.0000,20.0000,153.7112,148.1182,153.6569,143.7264,1065435501.0525,892764642.0000
150.6966,148.5589,150.7400,149.1685,1.8784,1.4988,0.3796,68.4555,82.5661,74.5115,64.9785,25.0657,10.6362,9.7480,70.3056,0.0000,90.0000,95.0000,0.0000,154.1002,147.2930,153.5470,143.5709,1059907009.0650,885882786.0000
150.1411,148.1692,150.2828,148.7865,1.7811,1.4039,0.3772,88.0784,87.9646,71.3965,63.3125,27.0654,10.7530,99.3570,123.5274,0.0000,100.0000,100.0000,5.0000,153.7960,146.4861,152.9869,143.3516,1061653456.2151,892192023.0000
149.5792,147.7931,149.9160,148.4552,1.7189,1.3096,0.4093,91.1645,86.1020,70.4243,62.8102,25.1507,10.0950,95.7637,133.1281,0.0000,100.0000,100.0000,0.0000,153.6617,145.4967,152.5507,143.0355,1061179117.3822,898554706.0000
148.9731,147.4432,149.5250,148.1163,1.6409,1.2073,0.4335,84.6508,83.2829,69.2673,62.2052,23.7110,9.5774,96.0454,142.5635,0.0000,100.0000,100.0000,5.0000,153.4148,144.5315,152.0337,142.8527,1056143145.6440,893159022.0000
148.4906,147.1476,149.1178,147.7751,1.5497,1.0989,0.4508,82.4905,84.5609,67.2493,61.1546,22.5726,9.1446,85.1860,137.8681,0.0000,90.0000,95.0000,10.0000,152.8388,144.1423,151.4438,142.8515,1052846722.3392,887583590.0000
147.9649,146.8281,148.7437,147.4565,1.4674,0.9862,0.4812,82.7075,84.8637,74.4802,63.9280,21.9779,8.8459,123.9194,175.6709,0.0000,100.0000,100.0000,15.0000,152.3394,143.5905,150.9362,142.7201,1047627387.7465,879575298.0000
147.5058,146.5127,148.0834,147.0083,1.2480,0.8660,0.3821,88.4848,86.3126,74.3724,63.8603,19.3677,8.2098,140.2416,197.5566,10.0000,100.0000,100.0000,20.0000,151.1045,143.9071,149.9921,143.0334,1048848095.4657,883438775.0000
147.0230,146.1979,147.2852,146.5170,0.9539,0.7704,0.1835,83.3989,82.6914,68.5003,60.3991,16.6130,7.5805,173.8850,225.7274,20.0000,100.0000,100.0000,25.0000,149.3118,144.7343,148.7741,143.6216,1046629533.1703,878050838.0000
146.6018,146.1347,146.7424,146.1790,0.7629,0.7246,0.0383,87.0542,78.2880,60.0218,56.3112,13.7670,6.9789,145.6206,183.7762,30.0000,100.0000,100.0000,30.0000,148.1864,145.0173,148.4056,143.8639,1043817526.4902,871328079.0000
146.4686,146.1574,146.5240,146.0163,0.7119,0.7150,-0.0031,77.6210,66.8410,59.1940,55.9494,12.6696,6.8588,161.3491,165.7576,40.0000,100.0000,100.0000,35.0000,147.8659,145.0714,148.4994,143.8155,1039709594.9826,866453340.0000
146.4213,146.1747,146.2942,145.8540,0.6535,0.7158,-0.0623,70.1887,60.4620,57.7105,55.2873,11.4502,6.7324,149.2047,115.4372,0.0000,60.0000,0.0000,40.0000,147.6942,145.1484,148.5623,143.7871,1040124617.1601,858637089.0000
146.1974,146.1914,146.0836,145.7079,0.6016,0.7313,-0.1297,52.7132,53.4591,53.2138,53.3298,12.0377,7.0015,125.8398,77.6959,10.0000,70.0000,5.0000,45.0000,147.5957,144.7991,148.6133,143.7696,1035858554.2996,854314522.0000
146.0070,146.2857,146.0322,145.6440,0.6211,0.7638,-0.1427,58.4841,54.6319,49.5684,51.8162,12.6905,7.2848,49.0127,21.7820,0.0000,80.0000,10.0000,50.0000,147.7624,144.2516,148.8611,143.7102,1036857427.3407,850152551.0000
