SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD_Hist-10-10,MACD-10-10,MACD_Signal-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Middle Band-10-10,Real Lower Band-10-10,Real Upper Band-20-20,Real Lower Band-20-20,Chaikin A/D,OBV
123.4528,122.1605,124.8039,123.3395,1.2486,1.2277,-0.0209,69.9857,70.7395,66.5543,60.7302,20.3721,13.2502,129.9301,196.9826,90.0000,0.0000,95.0000,45.0000,114.6948,132.2108,129.5777,114.7432,435498286.0898,379421610.0000
122.2113,121.7020,123.6129,122.6211,1.0619,0.7289,-0.3330,71.9088,65.4866,78.5030,67.1446,17.8614,12.3115,293.5727,359.8824,100.0000,0.0000,100.0000,50.0000,114.1158,130.3069,128.1547,115.2492,443130533.8327,387775314.0000
120.6351,121.1141,121.3902,121.4639,0.3286,-0.2699,-0.5985,70.3241,61.0191,55.8672,51.7888,13.2473,10.8437,127.0302,103.2413,90.0000,10.0000,25.0000,55.0000,117.2908,123.9793,124.5603,117.6678,453237277.3851,362486388.0000
120.3589,121.0801,121.1082,121.3381,0.2553,-0.4253,-0.6806,54.2268,58.1366,58.0458,52.7158,13.1931,10.9071,108.1693,68.6009,100.0000,20.0000,30.0000,60.0000,117.2837,123.4342,124.4777,117.6824,451292157.5336,359670725.0000
120.0257,120.9834,120.6671,121.1533,0.0828,-0.6616,-0.7445,58.5065,64.7506,49.7008,48.5827,13.1330,10.9738,88.0414,27.3580,80.0000,30.0000,35.0000,65.0000,117.5426,122.5087,124.2541,117.7128,454256113.4588,363542990.0000
119.8235,121.1116,120.5837,121.1650,0.0204,-0.7448,-0.7652,61.6765,72.6593,44.9641,46.4446,14.1484,11.4935,6.5834,-58.9474,0.0000,40.0000,0.0000,70.0000,117.3756,122.2714,124.5766,117.6466,453861284.7636,360492041.0000
120.1361,121.5159,120.7009,121.2817,0.0305,-0.7398,-0.7703,74.0688,75.9138,51.7642,49.4740,14.1488,11.9214,51.1620,-8.8944,0.0000,50.0000,5.0000,75.0000,116.9593,123.3129,126.1001,116.9317,453292213.1049,363417269.0000
120.3580,121.7821,120.5046,121.2498,-0.1003,-0.8782,-0.7779,82.2328,68.6860,50.0537,48.6737,15.6361,12.3677,40.8119,-9.4702,0.0000,60.0000,10.0000,80.0000,116.5586,124.1573,126.9347,116.6296,454900769.9730,366628930.0000
120.6449,121.8334,120.3500,121.2551,-0.2501,-1.0029,-0.7528,71.4398,49.3895,46.9071,47.1985,16.9909,12.7297,0.9582,-38.1138,10.0000,70.0000,15.0000,85.0000,116.2481,125.0418,126.9822,116.6847,455472645.3068,363367695.0000
120.7646,121.9845,120.3198,121.3361,-0.3845,-1.0748,-0.6903,52.3853,31.2820,47.4428,47.4565,18.5512,13.2677,8.3595,-28.4429,20.0000,80.0000,20.0000,90.0000,116.3266,125.2027,127.1436,116.8254,456028847.8130,365498259.0000
