SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Signal-10-10,MACD_Hist-10-10,SlowD,SlowK,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Upper Band-10-10,Real Lower Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
146.9881,146.2766,145.9978,146.4334,-0.3317,-0.4127,-0.0810,14.5161,12.6377,38.9780,44.0400,14.8656,8.1916,-143.7967,-129.2800,100.0000,40.0000,10.0000,70.0000,151.4565,142.5197,150.2301,142.3232,1027431547.4368,887588201.0000
147.1579,146.2597,146.5434,146.7377,-0.1832,-0.1813,0.0019,16.9422,13.9268,37.9974,43.5665,14.2851,8.1542,-124.8243,-79.2262,100.0000,50.0000,0.0000,75.0000,151.1982,143.1177,150.2623,142.2571,1029947765.7177,882261661.0000
147.5462,146.2985,147.2611,147.0981,0.0923,0.1400,0.0477,26.6738,16.9840,49.8450,50.1976,13.6476,8.1171,-32.1908,27.2070,30.0000,60.0000,5.0000,80.0000,150.6784,144.4140,150.2000,142.3969,1036620892.4384,889512416.0000
147.3615,146.3521,147.3041,147.1013,0.1412,0.1659,0.0247,44.1265,19.9158,46.2112,48.4014,14.8949,8.3366,-65.6734,-12.6750,40.0000,70.0000,10.0000,85.0000,150.7887,143.9343,150.3233,142.3809,1035122427.4579,883414012.0000
147.3744,146.3511,147.5575,147.2000,0.2992,0.2885,-0.0106,65.2085,43.1216,49.4347,50.1186,15.9346,8.7732,-17.3593,35.9403,50.0000,80.0000,15.0000,90.0000,150.7844,143.9644,150.3225,142.3797,1034551183.9869,889393027.0000
147.4519,146.3660,147.6663,147.2139,0.4342,0.3488,-0.0854,75.4068,69.3422,50.3376,50.6059,17.2761,8.9684,11.7302,59.6992,60.0000,90.0000,20.0000,95.0000,150.8657,144.0380,150.3502,142.3817,1035585056.1504,897100074.0000
147.3228,146.3923,147.7420,147.2022,0.5884,0.3944,-0.1940,67.9782,83.1617,64.5367,57.7454,18.3839,9.0759,183.7402,203.5584,70.0000,100.0000,25.0000,100.0000,150.8419,143.8036,150.4084,142.3762,1041090314.4037,908157644.0000
146.8531,146.2190,147.0666,146.8254,0.4361,0.0950,-0.3411,54.3099,73.7164,62.1334,56.2805,15.5277,8.2433,208.7912,171.0755,0.0000,100.0000,30.0000,100.0000,149.5605,144.1456,149.7299,142.7081,1042742372.8112,900884474.0000
146.3258,146.0606,146.4330,146.4999,0.2495,-0.2006,-0.4501,38.9685,47.0565,55.6691,52.5438,13.5179,7.7184,150.2763,100.7717,0.0000,100.0000,35.0000,15.0000,148.4263,144.2252,149.1504,142.9709,1040221523.7994,895830358.0000
145.9067,145.9623,146.1177,146.3576,0.1479,-0.3646,-0.5125,37.8146,42.1568,52.0951,50.5959,12.7460,7.5545,32.4808,12.0409,10.0000,50.0000,40.0000,0.0000,148.2769,143.5366,148.9409,142.9837,1040489749.4391,891416827.0000
145.5651,146.0527,145.9552,146.3058,0.0829,-0.4666,-0.5495,41.0894,27.6923,45.7857,47.2999,13.7914,7.8195,13.2924,-16.9455,20.0000,60.0000,45.0000,5.0000,148.2564,142.8738,149.2361,142.8693,1036507364.4980,885813704.0000
145.3615,146.1023,146.1140,146.4180,0.1441,-0.4261,-0.5702,56.3678,43.5947,53.4971,51.2499,14.8700,8.0807,64.1800,20.7153,0.0000,70.0000,50.0000,10.0000,148.4052,142.3179,149.2644,142.9403,1040168567.2397,890931916.0000
145.0507,146.1202,145.8734,146.3360,0.0388,-0.5674,-0.6062,68.2819,51.9812,45.0891,47.0027,15.3348,8.1959,31.7697,-27.2695,10.0000,80.0000,55.0000,0.0000,147.9105,142.1909,149.3107,142.9297,1035940006.8928,885939158.0000
145.3427,146.2845,146.0185,146.4534,0.0775,-0.5384,-0.6159,73.8036,73.5275,49.4568,49.2133,15.8512,8.3172,67.8710,11.4721,20.0000,90.0000,60.0000,5.0000,148.7549,141.9304,149.6086,142.9605,1039682122.9876,891424760.0000
145.3278,146.6078,145.9576,146.4703,0.0327,-0.6026,-0.6353,66.6331,79.3370,56.5821,52.6084,15.6559,8.2696,106.3802,28.1694,30.0000,0.0000,65.0000,10.0000,148.7246,141.9309,150.9680,142.2476,1042657978.0831,897882568.0000
145.2801,146.7389,145.5388,146.3259,-0.1902,-0.8336,-0.6435,51.5218,68.5464,48.8434,48.6848,14.9797,8.1139,30.5055,-35.7553,40.0000,0.0000,70.0000,15.0000,148.5453,142.0149,151.3877,142.0900,1039163046.4921,889394877.0000
145.4618,147.0541,145.4285,146.3566,-0.3364,-0.9323,-0.5959,35.9273,52.0160,49.0596,48.7902,15.7706,8.3733,27.3030,-34.2516,50.0000,10.0000,75.0000,20.0000,149.0601,141.8636,152.2877,141.8205,1038653400.1297,896165893.0000
145.5850,147.3784,145.2828,146.3852,-0.5380,-1.0498,-0.5118,26.1192,34.0030,42.4057,45.5413,16.2565,8.5517,-55.8122,-102.5717,60.0000,20.0000,80.0000,25.0000,149.3408,141.8291,153.1111,141.6456,1040184503.1311,890322704.0000
145.7955,147.7418,145.4246,146.5684,-0.6605,-1.0378,-0.3773,27.5177,21.7629,37.3794,43.2040,17.3522,8.7467,-102.9893,-137.4264,70.0000,30.0000,85.0000,30.0000,149.5529,142.0380,153.6541,141.8295,1037418898.6323,884791495.0000
146.0179,148.1207,145.8164,146.8744,-0.6952,-0.9074,-0.2122,33.7812,22.5918,36.2155,42.6609,17.4205,8.6727,-91.6115,-119.6494,80.0000,0.0000,90.0000,35.0000,149.4967,142.5391,153.9082,142.3331,1035214116.9576,879176651.0000
146.5403,148.4990,146.3460,147.2367,-0.6660,-0.7044,-0.0384,41.7843,38.1985,35.1304,42.1353,18.4225,8.8437,-176.7286,-163.0123,90.0000,10.0000,95.0000,40.0000,149.8753,143.2052,153.9933,143.0047,1043666019.1016,870392215.0000
146.8431,148.8932,147.0441,147.6611,-0.5400,-0.4119,0.1281,42.6746,40.5532,37.3429,43.6048,16.7000,8.3673,-207.3240,-154.8938,100.0000,20.0000,100.0000,45.0000,149.3617,144.3246,153.9233,143.8632,1045777887.8414,875688132.0000
147.1897,149.2235,147.7009,148.0372,-0.3856,-0.1225,0.2631,44.4785,46.6013,50.4525,51.4142,14.7861,7.8658,-14.7294,-71.4764,90.0000,0.0000,95.0000,50.0000,148.9303,145.4491,153.7948,144.6523,1046829478.5231,883262633.0000
147.2264,149.2852,147.6033,148.0263,-0.5234,-0.1638,0.3595,42.1907,40.8693,41.3185,46.9692,15.5268,8.1441,-118.3573,-117.1083,100.0000,10.0000,100.0000,55.0000,149.0588,145.3941,153.8295,144.7408,1037972420.4226,871088589.0000
147.8878,149.3958,147.9276,148.2245,-0.5014,-0.0110,0.4904,36.5482,45.9649,45.9876,49.6076,14.8550,8.1180,-20.4564,-62.9458,60.0000,20.0000,80.0000,60.0000,151.5452,144.2303,153.7319,145.0598,1038692141.6464,876550003.0000
148.1976,149.4306,148.0525,148.3149,-0.5559,0.0598,0.6157,28.3977,39.7380,47.9295,50.6851,15.9589,8.3030,-11.4015,-45.9725,70.0000,30.0000,85.0000,65.0000,152.1394,144.2558,153.7118,145.1494,1042763298.1869,880873505.0000
148.6465,149.3868,148.0971,148.3636,-0.6548,0.0998,0.7547,19.7329,23.9416,45.6534,49.5376,16.9175,8.4412,-50.6691,-69.8451,80.0000,40.0000,90.0000,70.0000,153.2886,144.0043,153.7488,145.0247,1045114391.8730,877214284.0000
149.1718,149.3328,148.2707,148.4739,-0.7143,0.2041,0.9184,17.7944,21.5135,43.2987,48.3320,17.9870,8.8429,-94.0279,-100.8842,90.0000,50.0000,95.0000,75.0000,154.2602,144.0834,153.8210,144.8446,1047452146.9668,872838486.0000
149.6882,149.2952,148.6087,148.6554,-0.7052,0.3918,1.0970,14.9722,13.7435,39.7105,46.4778,17.5619,8.9579,-117.0350,-95.8300,100.0000,60.0000,0.0000,80.0000,154.7365,144.6398,153.8807,144.7098,1046623790.9657,868903795.0000
150.2234,149.3828,149.2137,148.9469,-0.5597,0.7136,1.2733,24.1558,18.1263,48.5843,52.1829,17.0896,9.0789,-76.8377,-27.3197,90.0000,70.0000,0.0000,85.0000,154.6413,145.8055,153.7670,144.9986,1051334117.3471,875095595.0000
150.4578,149.1991,149.3376,148.9775,-0.5813,0.8319,1.4132,33.6541,13.0468,37.6109,46.7526,18.5576,9.4265,-168.0391,-63.8275,100.0000,80.0000,5.0000,90.0000,154.7656,146.1499,153.9795,144.4187,1050913674.3098,868134927.0000
