SMA-10,SMA-20,EMA-10,EMA-20,MACD_Hist-10,MACD-10,MACD_Signal-10,SlowK,SlowD,RSI-10,RSI-20,ADX-10,ADX-20,CCI-10,CCI-20,Aroon Down-10,Aroon Up-10,Aroon Up-20,Aroon Down-20,Real Upper Band-10,Real Lower Band-10,Real Upper Band-20,Real Lower Band-20,Chaikin A/D,OBV
120.4634,121.7157,120.5570,121.2060,-0.3119,-0.6327,-0.3208,24.7848,42.5160,38.8595,44.7433,18.3697,14.9472,-104.4664,-129.6252,90.0000,60.0000,40.0000,95.0000,122.6508,118.2760,125.4008,118.0306,455585153.1907,366520555.0000
120.6438,121.8863,120.9795,121.4744,-0.2289,-0.4717,-0.2428,43.3384,58.3909,39.3243,44.9845,19.4162,15.5643,-168.8010,-178.3832,100.0000,70.0000,45.0000,100.0000,122.4735,118.8142,125.2945,118.4781,455523532.1700,363562746.0000
121.0255,122.0111,121.4630,121.7555,-0.0887,-0.2743,-0.1856,59.4250,64.8757,53.9640,51.6510,19.7838,16.3778,61.8740,-14.1156,40.0000,0.0000,50.0000,70.0000,122.7496,119.3013,125.1291,118.8930,452466948.1991,368874187.0000
121.4130,121.9588,121.2256,121.6738,-0.2345,-0.3979,-0.1634,72.4094,60.7259,46.1336,48.5057,19.3688,16.1870,71.4582,24.2974,50.0000,10.0000,55.0000,75.0000,125.0251,117.8009,125.0753,118.8423,457335987.1868,374265757.0000
121.5215,122.0678,121.2949,121.7538,-0.2805,-0.3853,-0.1047,62.7927,45.5493,46.5245,48.6707,18.9077,15.9861,46.0989,29.3684,60.0000,20.0000,60.0000,80.0000,125.1323,117.9106,125.1829,118.9526,455280867.6783,371094495.0000
121.5353,122.1807,121.3598,121.8329,-0.3379,-0.3725,-0.0346,46.9756,29.5012,46.9621,48.8638,17.3693,15.5618,-21.2371,-54.7060,70.0000,30.0000,65.0000,85.0000,125.1391,117.9314,125.2969,119.0644,455390530.4498,367305037.0000
121.7749,122.3005,121.4150,121.9088,-0.4118,-0.3619,0.0499,26.8795,16.6739,45.0154,48.0450,17.7681,15.5827,-39.2617,-75.6602,80.0000,40.0000,70.0000,90.0000,125.5487,118.0010,125.4273,119.1737,457300502.8266,364389816.0000
122.0313,122.3912,121.5833,122.0406,-0.4498,-0.2969,0.1528,14.6484,11.5314,40.8986,46.3232,18.2313,15.6089,-80.6456,-126.7660,90.0000,50.0000,75.0000,95.0000,125.8150,118.2475,125.4260,119.3564,459458658.0841,360747929.0000
122.3478,122.6165,122.0016,122.2868,-0.3775,-0.1123,0.2653,8.4939,11.8785,44.4161,48.1030,19.4062,15.7731,-106.1842,-156.8660,100.0000,60.0000,80.0000,100.0000,125.8153,118.8804,125.4835,119.7495,460377199.4094,357199838.0000
122.5864,122.8670,122.2630,122.4406,-0.3491,0.0106,0.3597,11.4520,23.9047,42.8643,47.4297,20.7117,15.9461,-86.8890,-124.0137,90.0000,70.0000,0.0000,95.0000,125.9281,119.2448,125.9326,119.8013,463592776.0208,361178643.0000
