SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Signal-10-10,MACD_Hist-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Lower Band-10-10,Real Middle Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
148.6467,147.6362,148.7393,148.4674,0.2796,0.1962,-0.0834,43.1216,65.2085,47.9339,49.2684,15.9346,8.7732,-17.3593,35.9403,50.0000,80.0000,90.0000,15.0000,151.6205,145.6728,151.2440,144.0284,1034551183.9869,889393027.0000
148.7162,147.6873,148.9056,148.5176,0.4308,0.2774,-0.1533,69.3422,75.4068,52.2806,51.6261,17.2761,8.9684,11.7302,59.6992,60.0000,90.0000,95.0000,20.0000,151.6578,145.7746,151.3425,144.0321,1035585056.1504,897100074.0000
148.4977,147.7106,148.8683,148.4591,0.5279,0.2668,-0.2610,83.1617,67.9782,67.5694,59.0715,18.3839,9.0759,183.7402,203.5584,70.0000,100.0000,100.0000,25.0000,151.6197,145.3757,151.4066,144.0146,1041090314.4037,908157644.0000
148.0159,147.5283,148.1558,148.0785,0.3369,-0.0561,-0.3930,73.7164,54.3099,62.0807,55.7362,15.5277,8.2433,208.7912,171.0755,0.0000,100.0000,100.0000,30.0000,150.0938,145.9380,150.6623,144.3943,1042742372.8112,900884474.0000
147.4965,147.3818,147.6518,147.8316,0.1777,-0.2995,-0.4772,47.0565,38.9685,55.4211,52.0994,13.5179,7.7184,150.2763,100.7717,0.0000,100.0000,15.0000,35.0000,149.5022,145.4909,150.2207,144.5430,1040221523.7994,895830358.0000
147.0397,147.3784,147.3954,147.7291,0.0807,-0.4409,-0.5216,42.1568,37.8146,47.1129,48.0709,12.7460,7.5545,32.4808,12.0409,10.0000,50.0000,0.0000,40.0000,149.6381,144.4414,150.2104,144.5463,1040489749.4391,891416827.0000
146.9722,147.5209,147.4396,147.7851,0.0905,-0.4513,-0.5418,27.6923,41.0894,49.0425,48.9890,13.7914,7.8195,13.2924,-16.9455,20.0000,60.0000,5.0000,45.0000,149.5858,144.3586,150.5797,144.4620,1036507364.4980,885813704.0000
146.6485,147.6341,147.4097,147.8074,0.0681,-0.4963,-0.5644,43.5947,56.3678,47.8796,48.4226,14.8700,8.0807,64.1800,20.7153,0.0000,70.0000,10.0000,50.0000,149.6560,143.6410,150.8557,144.4125,1040168567.2397,890931916.0000
146.6038,147.7617,147.4239,147.8560,0.0581,-0.5233,-0.5815,51.9812,68.2819,48.0082,48.4893,15.3348,8.1959,31.7697,-27.2695,10.0000,80.0000,0.0000,55.0000,149.5817,143.6259,151.1265,144.3969,1035940006.8928,885939158.0000
146.7269,148.1122,147.4347,147.9066,0.0428,-0.5532,-0.5960,73.5275,73.8036,53.3377,51.2627,15.8512,8.3172,67.8710,11.4721,20.0000,90.0000,5.0000,60.0000,149.9166,143.5373,152.5368,143.6876,1039682122.9876,891424760.0000
