SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Signal-10-10,MACD_Hist-10-10,SlowD,SlowK,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Upper Band-10-10,Real Lower Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
146.0810,145.3087,145.2354,145.5181,-0.2592,-0.2522,0.0070,14.5161,12.6377,38.4967,44.0180,14.8656,8.1916,-143.7967,-129.2800,100.0000,40.0000,70.0000,10.0000,150.1632,141.9988,148.9654,141.6519,1027431547.4368,887588201.0000
146.2548,145.2888,145.7065,145.7710,-0.1181,-0.0464,0.0718,16.9422,13.9268,38.5299,44.0381,14.2851,8.1542,-124.8243,-79.2262,100.0000,50.0000,75.0000,0.0000,149.9464,142.5631,148.9969,141.5806,1029947765.7177,882261661.0000
146.4822,145.2307,146.2801,146.0495,0.1147,0.2160,0.1013,26.6738,16.9840,49.6164,50.3123,13.6476,8.1171,-32.1908,27.2070,30.0000,60.0000,80.0000,5.0000,149.6122,143.3522,149.1053,141.3561,1036620892.4384,889512416.0000
146.3650,145.1905,146.3456,146.0563,0.1839,0.2565,0.0726,44.1265,19.9158,46.3351,48.6720,14.8949,8.3366,-65.6734,-12.6750,40.0000,70.0000,85.0000,10.0000,149.6448,143.0852,149.0496,141.3314,1035122427.4579,883414012.0000
146.3779,145.1766,146.5758,146.1349,0.3466,0.3732,0.0267,65.2085,43.1216,50.9943,51.1738,15.9346,8.7732,-17.3593,35.9403,50.0000,80.0000,90.0000,15.0000,149.6420,143.1138,149.0358,141.3173,1034551183.9869,889393027.0000
146.3233,145.2242,146.6232,146.1109,0.4696,0.4097,-0.0600,75.4068,69.3422,52.7042,52.0855,17.2761,8.9684,11.7302,59.6992,60.0000,90.0000,95.0000,20.0000,149.6048,143.0418,149.1636,141.2848,1035585056.1504,897100074.0000
146.1535,145.2615,146.5973,146.0447,0.5891,0.4117,-0.1774,67.9782,83.1617,71.0398,60.9019,18.3839,9.0759,183.7402,203.5584,70.0000,100.0000,100.0000,25.0000,149.5061,142.8008,149.2709,141.2520,1041090314.4037,908157644.0000
145.6967,145.1120,145.8484,145.6318,0.4045,0.0798,-0.3247,54.3099,73.7164,65.8595,57.5976,15.5277,8.2433,208.7912,171.0755,0.0000,100.0000,100.0000,30.0000,147.8911,143.5023,148.5973,141.6268,1042742372.8112,900884474.0000
145.1450,144.9723,145.2807,145.3401,0.2401,-0.1857,-0.4258,38.9685,47.0565,60.1342,54.3263,13.5179,7.7184,150.2763,100.7717,0.0000,100.0000,15.0000,35.0000,147.1011,143.1890,148.1269,141.8176,1040221523.7994,895830358.0000
144.6783,144.8968,144.8968,145.1645,0.1059,-0.3799,-0.4858,37.8146,42.1568,47.5760,48.3139,12.7460,7.5545,32.4808,12.0409,10.0000,50.0000,0.0000,40.0000,146.8491,142.5075,147.9226,141.8710,1040489749.4391,891416827.0000
144.5363,145.0115,144.9198,145.2036,0.1155,-0.3968,-0.5123,41.0894,27.6923,47.9417,48.4770,13.7914,7.8195,13.2924,-16.9455,20.0000,60.0000,5.0000,45.0000,146.8401,142.2325,148.1833,141.8396,1036507364.4980,885813704.0000
144.3228,145.0626,144.9346,145.2405,0.1225,-0.4186,-0.5412,56.3678,43.5947,51.1878,49.9454,14.8700,8.0807,64.1800,20.7153,0.0000,70.0000,10.0000,50.0000,146.8541,141.7915,148.2555,141.8697,1040168567.2397,890931916.0000
143.9792,145.0979,144.8313,145.2238,0.0758,-0.4960,-0.5718,68.2819,51.9812,47.7738,48.3510,15.3348,8.1959,31.7697,-27.2695,10.0000,80.0000,0.0000,55.0000,146.7538,141.2046,148.3203,141.8755,1035940006.8928,885939158.0000
144.0160,145.2205,144.8353,145.2670,0.0628,-0.5279,-0.5908,73.8036,73.5275,51.2163,49.9655,15.8512,8.3172,67.8710,11.4721,20.0000,90.0000,5.0000,60.0000,146.8430,141.1889,148.5743,141.8667,1039682122.9876,891424760.0000
143.9753,145.3588,144.7012,145.2488,-0.0182,-0.6247,-0.6065,66.6331,79.3370,53.3014,50.9401,15.6559,8.2696,106.3802,28.1694,30.0000,0.0000,10.0000,65.0000,146.7300,141.2206,148.9564,141.7612,1042657978.0831,897882568.0000
144.1252,145.5192,144.4533,145.1891,-0.1755,-0.7775,-0.6019,51.5218,68.5464,49.5037,49.0002,14.9797,8.1139,30.5055,-35.7553,40.0000,0.0000,15.0000,70.0000,147.3820,140.8684,149.4542,141.5841,1039163046.4921,889394877.0000
144.3695,145.8270,144.3226,145.2046,-0.3243,-0.8823,-0.5580,35.9273,52.0160,51.2344,49.8648,15.7706,8.3733,27.3030,-34.2516,50.0000,10.0000,20.0000,75.0000,148.1834,140.5556,150.4651,141.1889,1038653400.1297,896165893.0000
144.5274,146.0991,144.0833,145.1841,-0.5627,-1.0397,-0.4770,26.1192,34.0030,37.3893,43.1707,16.2565,8.5517,-55.8122,-102.5717,60.0000,20.0000,25.0000,80.0000,148.6194,140.4354,151.2184,140.9798,1040184503.1311,890322704.0000
144.7995,146.4963,144.3492,145.4259,-0.6334,-0.9697,-0.3363,27.5177,21.7629,33.7068,41.5591,17.3522,8.7467,-102.9893,-137.4264,70.0000,30.0000,30.0000,85.0000,148.7793,140.8197,151.7870,141.2057,1037418898.6323,884791495.0000
145.1153,146.8588,144.7955,145.7507,-0.6327,-0.8106,-0.1779,33.7812,22.5918,37.4559,43.7898,17.4205,8.6727,-91.6115,-119.6494,80.0000,0.0000,35.0000,90.0000,148.7508,141.4797,151.9505,141.7671,1035214116.9576,879176651.0000
145.4867,147.2141,145.1115,146.0009,-0.6811,-0.7009,-0.0198,41.7843,38.1985,33.2131,41.9100,18.4225,8.8437,-176.7286,-163.0123,90.0000,10.0000,40.0000,95.0000,149.0933,141.8801,152.2749,142.1532,1043666019.1016,870392215.0000
145.8024,147.5432,145.6434,146.3465,-0.6345,-0.4840,0.1505,42.6746,40.5532,28.1627,39.7043,16.7000,8.3673,-207.3240,-154.8938,100.0000,20.0000,45.0000,100.0000,148.9014,142.7035,152.2344,142.8520,1045777887.8414,875688132.0000
146.2165,147.8728,146.4612,146.8079,-0.4324,-0.1232,0.3091,44.4785,46.6013,39.6736,46.9198,14.7861,7.8658,-14.7294,-71.4764,90.0000,0.0000,50.0000,95.0000,147.9654,144.4677,151.8162,143.9294,1046829478.5231,883262633.0000
146.4251,147.9899,146.7457,146.9792,-0.4058,0.0115,0.4172,42.1907,40.8693,38.6284,46.4922,15.5268,8.1441,-118.3573,-117.1083,100.0000,10.0000,55.0000,100.0000,148.1269,144.7233,151.7410,144.2389,1037972420.4226,871088589.0000
146.7423,148.1034,147.1266,147.1841,-0.3203,0.1984,0.5187,36.5482,45.9649,50.7667,52.6747,14.8550,8.1180,-20.4564,-62.9458,60.0000,20.0000,60.0000,80.0000,148.4697,145.0150,151.6196,144.5872,1038692141.6464,876550003.0000
146.9131,148.0657,147.0845,147.1703,-0.3973,0.2014,0.5988,28.3977,39.7380,51.8499,53.1709,15.9589,8.3030,-11.4015,-45.9725,70.0000,30.0000,65.0000,85.0000,149.1080,144.7183,151.6307,144.5006,1042763298.1869,880873505.0000
