SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD_Hist-10-10,MACD-10-10,MACD_Signal-10-10,SlowD,SlowK,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Middle Band-10-10,Real Upper Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
78.4441,76.4115,79.1203,76.7840,2.7756,0.5802,2.1954,89.3709,89.6647,85.5534,74.0296,53.9756,26.9077,149.2102,225.9668,20.0000,100.0000,0.0000,100.0000,73.2385,83.6496,82.5955,70.2275,44047220.0650,8812400.0000
77.7892,75.7447,78.1026,76.0560,2.4748,0.4245,2.0504,84.5099,89.0702,84.3651,72.9809,51.0249,25.4142,204.2406,218.5397,0.0000,100.0000,0.0000,100.0000,73.9160,81.6623,81.5024,69.9870,43099404.6806,2772400.0000
77.1221,75.1119,77.0362,75.3354,2.1362,0.1920,1.9442,75.5626,89.3778,76.8116,67.4946,47.9076,23.9272,248.3252,165.4958,0.0000,100.0000,0.0000,100.0000,75.1883,79.0560,80.3423,69.8814,42950510.4945,-5764200.0000
76.7988,74.6167,76.5138,74.9089,2.0308,0.1345,1.8963,59.5754,75.0817,73.5496,65.6132,45.0594,22.6544,258.7194,109.8685,0.0000,100.0000,5.0000,100.0000,75.5165,78.0811,80.0070,69.2264,37259617.0664,-14043200.0000
76.4909,74.1855,76.0967,74.5425,1.9681,0.1055,1.8626,51.1575,62.2283,65.6993,61.8179,43.2761,21.8076,109.5206,80.2733,10.0000,100.0000,10.0000,100.0000,75.4244,77.5574,79.6783,68.6927,34015047.2485,-20031500.0000
76.4193,73.8303,75.9874,74.3271,2.0430,0.2067,1.8362,50.0452,41.4162,73.5743,64.5291,42.1237,21.1413,41.4433,73.2496,0.0000,40.0000,15.0000,70.0000,75.2942,77.5444,79.5688,68.0917,30859517.3518,-24282700.0000
76.0717,73.4830,75.6934,74.0130,2.0353,0.2507,1.7846,60.8884,49.8279,70.9691,63.2555,41.8197,20.6649,32.8384,75.1310,10.0000,50.0000,20.0000,75.0000,74.3007,77.8428,79.1775,67.7885,31906769.4530,-21513300.0000
75.7921,73.2095,75.4675,73.7291,2.0570,0.3352,1.7219,71.2646,58.8914,71.3733,63.3936,41.4819,20.1634,47.4994,84.1822,0.0000,60.0000,25.0000,80.0000,73.6652,77.9190,78.7819,67.6370,30950175.0867,-24747500.0000
75.4129,73.0020,75.1828,73.4113,2.0510,0.4129,1.6381,79.0241,73.9458,69.7721,62.5923,41.0110,19.6200,69.5208,99.8606,0.0000,70.0000,30.0000,85.0000,72.8054,78.0204,78.3358,67.6682,34264875.0867,-20620000.0000
74.9457,72.7505,74.9229,73.1017,2.0537,0.5188,1.5349,83.2142,80.9566,69.7721,62.5923,40.8046,19.1230,80.6573,115.0360,0.0000,80.0000,0.0000,90.0000,71.6069,78.2844,77.8999,67.6011,30739105.9025,-24958400.0000
74.3789,72.1560,74.6053,72.7596,2.0274,0.6222,1.4052,83.0141,82.1700,76.7859,65.1885,40.5752,18.5999,97.9031,130.6433,0.0000,90.0000,5.0000,95.0000,70.3373,78.4205,78.1767,66.1352,26763582.6470,-30904400.0000
73.7003,71.5732,74.0396,72.2973,1.8829,0.6333,1.2496,83.5983,86.5159,74.0850,63.5332,38.6543,17.7563,119.0958,144.5462,0.0000,100.0000,10.0000,100.0000,69.4738,77.9268,77.8000,65.3464,25288607.7805,-26526300.0000
73.1016,71.0865,73.5527,71.8833,1.7648,0.6735,1.0913,81.0958,80.3564,73.8568,63.3954,36.5200,16.8682,107.2155,134.3005,0.0000,100.0000,15.0000,100.0000,68.7834,77.4198,77.3026,64.8704,21333607.7806,-31475700.0000
72.4346,70.5696,72.9746,71.4337,1.5962,0.6733,0.9229,82.2139,83.9225,71.3609,61.8905,34.8349,16.1474,102.5463,123.6489,10.0000,90.0000,20.0000,95.0000,68.1482,76.7211,76.7334,64.4057,20770945.1854,-37618100.0000
71.8801,70.0590,72.4555,71.0256,1.4437,0.6891,0.7546,82.3421,79.0083,75.6971,63.5450,33.6226,15.5771,127.7755,137.9995,20.0000,100.0000,25.0000,100.0000,67.7953,75.9648,76.2589,63.8591,17591088.8832,-43102200.0000
71.2412,69.5401,71.6960,70.5154,1.1708,0.5885,0.5823,86.3761,83.7109,69.6880,59.8486,31.1975,14.7868,130.6747,126.3949,30.0000,100.0000,30.0000,100.0000,67.9290,74.5534,75.4364,63.6438,24176488.8832,-36516800.0000
70.8943,69.0715,71.2207,70.1659,1.0130,0.5778,0.4352,82.5759,84.3072,70.2935,60.0726,28.9393,14.0934,145.6916,114.9490,40.0000,100.0000,35.0000,100.0000,68.0472,73.7413,75.0177,63.1252,20559259.3265,-42253500.0000
70.6268,68.6585,70.6223,69.7714,0.7887,0.4980,0.2907,75.9856,91.1103,67.1791,58.2724,26.7138,13.4515,141.0006,98.8519,50.0000,0.0000,40.0000,45.0000,68.5725,72.6812,74.3436,62.9734,24617075.3139,-48164200.0000
70.5911,68.2536,70.1036,69.4362,0.5885,0.4223,0.1662,62.0041,72.3103,62.4559,55.7448,25.3031,13.0833,118.8560,97.5199,60.0000,0.0000,0.0000,50.0000,68.6937,72.4885,73.8087,62.6984,22722890.3825,-43703700.0000
70.5553,67.8607,69.7533,69.2000,0.4544,0.3937,0.0607,52.4998,64.5362,58.2368,53.6651,23.7356,12.6957,38.3859,80.7542,0.0000,10.0000,5.0000,55.0000,68.7292,72.3815,73.5017,62.2198,18484225.4661,-49271100.0000
69.9331,67.5534,69.5465,69.0438,0.3780,0.4158,-0.0378,39.0381,49.1658,56.8376,52.9925,22.7329,12.4925,-23.4325,53.8836,10.0000,20.0000,10.0000,60.0000,65.8547,74.0115,73.2152,61.8916,14375402.1648,-55149000.0000
69.4461,67.4915,69.3645,68.9047,0.3074,0.4491,-0.1417,33.1312,43.7974,56.3373,52.7449,22.9094,12.6055,26.1622,72.3717,20.0000,30.0000,15.0000,65.0000,64.5998,74.2924,73.0552,61.9278,16687769.7447,-52152500.0000
