SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD_Hist-10-10,MACD-10-10,MACD_Signal-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Middle Band-10-10,Real Upper Band-10-10,Real Upper Band-20-20,Real Lower Band-20-20,Chaikin A/D,OBV
118.7634,119.6400,119.4388,119.8585,0.1244,-0.6041,-0.7285,58.5065,64.7506,52.3918,49.8217,13.1330,10.9738,88.0414,27.3580,30.0000,80.0000,35.0000,65.0000,121.3098,116.2170,122.8310,116.4490,454256113.4588,363542990.0000
118.5898,119.6543,119.2446,119.8107,0.0241,-0.7355,-0.7596,61.6765,72.6593,45.7616,46.7581,14.1484,11.4935,6.5834,-58.9474,40.0000,0.0000,0.0000,70.0000,120.9174,116.2623,122.8598,116.4488,453861284.7636,360492041.0000
118.8058,119.8456,119.3228,119.9074,0.0177,-0.7479,-0.7656,74.0688,75.9138,47.9311,47.7584,14.1488,11.9214,51.1620,-8.8944,50.0000,0.0000,5.0000,75.0000,121.5661,116.0454,123.2939,116.3973,453292213.1049,363417269.0000
119.1835,120.1952,119.3045,119.9602,-0.0350,-0.8051,-0.7701,82.2328,68.6860,50.3260,48.8661,15.6361,12.3677,40.8119,-9.4702,60.0000,0.0000,10.0000,80.0000,123.0000,115.3669,124.6613,115.7290,454900769.9730,366628930.0000
119.4349,120.2805,119.1550,119.9584,-0.1633,-0.9246,-0.7613,71.4398,49.3895,47.3458,47.4076,16.9909,12.7297,0.9582,-38.1138,70.0000,10.0000,15.0000,85.0000,123.7290,115.1409,124.7916,115.7693,455472645.3068,363367695.0000
119.5828,120.3973,119.1322,120.0322,-0.2700,-0.9904,-0.7205,52.3853,31.2820,50.2841,48.8398,18.5512,13.2677,8.3595,-28.4429,80.0000,20.0000,20.0000,90.0000,123.9436,115.2220,124.9175,115.8772,456028847.8130,365498259.0000
119.6183,120.5620,118.9313,120.0317,-0.4863,-1.1393,-0.6530,24.3435,19.9693,38.1216,43.0924,20.4652,13.7890,-94.2861,-145.9181,90.0000,30.0000,25.0000,95.0000,123.9990,115.2376,125.2543,115.8697,454712756.8158,361988683.0000
119.8658,120.8430,119.2949,120.3198,-0.5023,-1.0337,-0.5314,17.1171,20.1164,33.5989,41.1494,19.4202,14.0260,-139.5595,-184.2350,100.0000,40.0000,30.0000,100.0000,123.9641,115.7676,125.3900,116.2961,452859229.1646,359034997.0000
120.1094,121.1428,119.9277,120.7275,-0.3917,-0.7975,-0.4058,18.4472,28.8568,35.6148,42.3309,18.2590,14.2756,-114.2724,-149.7307,100.0000,50.0000,35.0000,100.0000,123.6122,116.6065,125.2613,117.0243,452643071.1407,362581157.0000
120.4476,121.4293,120.5390,121.1012,-0.2508,-0.5587,-0.3079,24.7848,42.5160,40.5909,45.1251,18.3697,14.9472,-104.4664,-129.6252,90.0000,60.0000,40.0000,95.0000,123.3550,117.5402,125.1856,117.6730,455585153.1907,366520555.0000
120.5166,121.6842,120.9181,121.3399,-0.1693,-0.4145,-0.2452,43.3384,58.3909,39.4118,44.5874,19.4162,15.5643,-168.8010,-178.3832,100.0000,70.0000,45.0000,100.0000,123.2975,117.7358,125.3929,117.9755,455523532.1700,363562746.0000
120.7188,121.8276,121.4383,121.6308,0.0047,-0.1982,-0.2029,59.4250,64.8757,47.6242,48.9906,19.7838,16.3778,61.8740,-14.1156,40.0000,0.0000,50.0000,70.0000,123.1821,118.2555,125.2558,118.3994,452466948.1991,368874187.0000
120.8854,121.8469,121.5241,121.6917,0.0327,-0.1714,-0.2041,72.4094,60.7259,56.7893,53.2932,19.3688,16.1870,71.4582,24.2974,50.0000,10.0000,55.0000,75.0000,123.6262,118.1447,125.2617,118.4320,457335987.1868,374265757.0000
121.2069,121.7936,121.1557,121.5348,-0.1392,-0.3515,-0.2122,62.7927,45.5493,54.2197,51.9952,18.9077,15.9861,46.0989,29.3684,60.0000,20.0000,60.0000,80.0000,125.3467,117.0671,125.1564,118.4309,455280867.6783,371094495.0000
121.1260,121.8281,120.8588,121.4341,-0.3285,-0.5059,-0.1774,46.9756,29.5012,47.0076,48.5405,17.3693,15.5618,-21.2371,-54.7060,70.0000,30.0000,65.0000,85.0000,125.1933,117.0588,125.2328,118.4235,455390530.4498,367305037.0000
121.2118,121.9267,120.8860,121.5075,-0.4217,-0.5170,-0.0953,26.8795,16.6739,45.4879,47.8393,17.7681,15.5827,-39.2617,-75.6602,80.0000,40.0000,70.0000,90.0000,125.2788,117.1449,125.3134,118.5401,457300502.8266,364389816.0000
121.5057,122.0835,120.9959,121.6250,-0.4986,-0.4885,0.0101,14.6484,11.5314,42.8319,46.5950,18.2313,15.6089,-80.6456,-126.7660,90.0000,50.0000,75.0000,95.0000,125.7152,117.2962,125.4617,118.7054,459458658.0841,360747929.0000
121.8203,122.2596,121.2683,121.8202,-0.5165,-0.3817,0.1348,8.4939,11.8785,39.0114,44.8081,19.4062,15.7731,-106.1842,-156.8660,100.0000,60.0000,80.0000,100.0000,125.9330,117.7075,125.5013,119.0178,460377199.4094,357199838.0000
122.1762,122.5623,121.7984,122.1295,-0.4134,-0.1495,0.2639,11.4520,23.9047,44.0116,47.6703,20.7117,15.9461,-86.8890,-124.0137,90.0000,70.0000,0.0000,95.0000,125.7971,118.5553,125.6112,119.5134,463592776.0208,361178643.0000
122.4109,122.7837,122.0739,122.2948,-0.3889,-0.0217,0.3672,15.6895,38.0019,39.7165,45.6325,21.0364,15.8644,-157.4824,-186.1641,100.0000,80.0000,5.0000,100.0000,125.8833,118.9385,125.8614,119.7059,464328136.4626,357407965.0000
122.8517,123.0746,122.6406,122.5865,-0.2173,0.2472,0.4645,44.5727,48.2312,42.7828,47.4549,22.0526,15.9287,-127.9554,-128.5559,100.0000,90.0000,10.0000,100.0000,125.8301,119.8733,125.9585,120.1906,467126256.2449,362618257.0000
122.9365,123.2057,123.0944,122.7957,-0.0414,0.4774,0.5188,53.7436,44.0950,49.5779,51.2934,22.6471,15.8670,96.6773,68.7857,80.0000,100.0000,15.0000,90.0000,125.6935,120.1795,125.8564,120.5550,470040196.3008,368636495.0000
